Nomes	CBRO	Referência (handbook of the bird of the world and BirdLife)		Arrumar
Glyphorynchus spirurus	Glyphorynchus spirurus	Glyphorynchus spirurus		
Grallaria varia	Grallaria varia	Grallaria varia		
Grallaria varia distincta	Grallaria varia distincta	Grallaria varia distincta		
Grallaria varia imperator	Grallaria varia imperator	Grallaria varia imperator		
Grallaria varia intercedens	Grallaria varia intercedens	Grallaria varia intercedens		
Grallaria varia distincta	Grallaria varia distincta			
Grallaria varia intercedens	Grallaria varia intercedens			
Granatellus pelzelni paraensis	Granatellus pelzelni paraensis	Granatellus paraensis		
Griseotyrannus aurantioatrocristatus	Griseotyrannus aurantioatrocristatus	Griseotyrannus aurantioatrocristatus		
Guaruba guarouba	Guaruba guarouba	Guaruba guarouba		
Guaruba guarouba	Guaruba guarouba			
Gubernatrix cristata	Gubernatrix cristata	Gubernatrix cristata		
Gubernatrix cristata	Gubernatrix cristata			
Gubernetes yetapa	Gubernetes yetapa	Gubernetes yetapa		
Gygis alba alba	Gygis alba	Gygis alba		
Haematopus palliatus	Haematopus palliatus	Haematopus palliatus		
Haematopus palliatus palliatus	Haematopus palliatus palliatus	Haematopus palliatus palliatus		
Harpagus bidentatus	Harpagus bidentatus	Harpagus bidentatus		
Harpia harpyja	Harpia harpyja	Harpia harpyja		
Harpia harpyja	Harpia harpyja			
Harpyhaliaetus coronatus	Urubitinga coronata	Buteogallus coronatus		
Heliactin bilophus	Heliactin bilophus	Heliactin bilophus		
Heliornis fulica	Heliornis fulica	Heliornis fulica		
Hemitriccus diops	Hemitriccus diops	Hemitriccus diops		
Hemitriccus furcatus	Hemitriccus furcatus	Hemitriccus furcatus		
Hemitriccus kaempferi	Hemitriccus kaempferi	Hemitriccus kaempferi		
Hemitriccus mirandae	Hemitriccus mirandae	Hemitriccus mirandae		
Hemitriccus obsoletus	Hemitriccus obsoletus	Hemitriccus obsoletus		
Hemitriccus orbitatus	Hemitriccus orbitatus	Hemitriccus orbitatus		
Hemitriccus furcatus	Hemitriccus furcatus			
Hemitriccus griseipectus naumburgae	Hemitriccus griseipectus naumburgae			
Hemitriccus kaempferi	Hemitriccus kaempferi			
Hemitriccus mirandae	Hemitriccus mirandae			
Herpetotheres cachinnans	Herpetotheres cachinnans			
Herpsilochmus atricapillus	Herpsilochmus atricapillus	Herpsilochmus atricapillus		
Herpsilochmus pileatus	Herpsilochmus pileatus			
Heteroxolmis dominicana	Heteroxolmis dominicanus			
Hydropsalis anomala	Hydropsalis anomala	Eleothreptus anomalus		
Hydropsalis candicans	Hydropsalis candicans	Eleothreptus candicans		
Hydropsalis forcipata	Hydropsalis forcipata	Macropsalis forcipata		
Hydropsalis maculicaudus	Hydropsalis maculicaudus	Hydropsalis maculicaudus		
Hydropsalis candicans	Hydropsalis candicans			
Hylexetastes brigidai	Hylexetastes perrotii			
Hylexetastesbrigidai	Hylexetastes perrotii	Hylexetastes perrotii		
Hylexetastesuniformis	Hylexetastes uniformis			
Hylocharis cyanus	Chlorestes cyanus	Chlorestes cyanus		
Hylocharis sapphirina	Hylocharis sapphirina	Hylocharis sapphirina		
Hylopezus nattereri	Cryptopezus nattereri	Hylopezus nattereri		
Hylopezus paraensis	Hylopezus paraensis	Hylopezus macularius paraensis		
